time_days_since_fermi_gbm,filter,ab_mag,ab_mag_err,integration_s,seeing_arcsec,source_arxiv,source_table,notes
0.33486,g,18.57,0.04,45,1.17,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.33749,z,15.29,0.01,45,1.04,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.33662,i,15.96,0.01,45,1.08,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.33576,r,16.99,0.01,45,1.40,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.34899,g,18.53,0.04,50,1.01,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.34987,r,17.05,0.01,40,0.99,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.35061,i,16.00,0.01,30,0.90,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.35132,z,15.33,0.01,30,0.89,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.39745,g,18.55,0.05,50,1.36,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.39978,z,15.48,0.01,30,1.02,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.39834,r,17.21,0.01,40,1.01,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
0.39908,i,16.15,0.01,30,0.96,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.27230,r,18.85,0.02,45,0.87,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.27097,g,20.33,0.06,100,1.34,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.27404,z,17.06,0.01,45,1.03,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.27316,i,17.77,0.01,45,0.84,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.30908,r,18.87,0.02,90,1.08,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.31046,i,17.80,0.01,90,1.03,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.31186,z,17.10,0.01,90,1.00,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.39474,g,20.41,0.12,100,1.17,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.39607,r,19.03,0.04,45,1.06,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.39694,i,17.93,0.01,45,1.41,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
1.39781,z,17.21,0.01,45,1.14,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.26839,i,18.69,0.02,100,1.11,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.26689,r,19.84,0.05,100,1.35,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.26991,z,18.02,0.01,100,1.02,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.29593,r,19.84,0.05,60,1.04,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.29441,g,21.05,0.12,120,1.33,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.29698,i,18.73,0.02,60,1.24,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
2.29803,z,17.99,0.02,60,1.24,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.27665,i,19.29,0.03,120,1.51,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.27434,r,20.31,0.05,180,1.58,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.27863,z,18.43,0.07,120,2.69,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.28182,g,21.61,0.19,180,2.18,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.28371,r,20.33,0.09,60,1.91,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.28475,i,19.28,0.03,60,1.46,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
3.28579,z,18.55,0.03,60,1.56,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
7.27887,r,21.60,0.08,180,0.79,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
7.28154,i,20.44,0.03,180,0.85,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
7.28571,z,19.68,0.03,360,0.75,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
7.28992,i,20.37,0.03,180,0.83,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
7.29263,r,21.44,0.08,180,0.82,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
8.27806,i,20.58,0.04,240,1.07,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
8.27470,r,21.68,0.08,240,1.07,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
8.28328,z,19.94,0.04,480,1.20,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
8.28854,i,20.69,0.05,240,1.08,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
8.29195,r,21.91,0.13,240,1.09,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
10.28995,r,22.04,0.11,300,0.90,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
10.29366,i,21.07,0.06,240,0.84,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
10.29887,z,20.27,0.05,480,1.04,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
10.30412,i,20.92,0.05,240,0.85,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
10.30788,r,22.04,0.10,300,0.86,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
11.27403,r,22.09,0.11,360,0.83,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
11.28344,z,20.50,0.05,480,0.80,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
11.27821,i,21.12,0.05,240,0.83,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
11.28871,i,21.17,0.06,240,0.91,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
11.29292,r,22.09,0.10,360,0.91,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
14.28998,r,22.45,0.17,360,0.90,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
14.29496,i,21.47,0.07,360,0.87,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
14.30262,z,20.83,0.06,720,0.79,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
14.31111,i,21.35,0.09,240,0.95,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
14.31535,r,22.35,0.15,360,0.99,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
17.31003,z,21.08,0.15,720,1.67,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
18.29124,i,21.91,0.13,720,1.37,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
18.30665,r,22.99,0.24,1350,1.46,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
19.27566,z,21.19,0.73,600,1.08,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
20.27930,z,21.55,0.14,1350,1.23,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
21.28883,z,21.31,0.12,1350,1.23,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
36.28571,i,22.23,0.11,1620,1.10,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
38.27709,r,24.06,0.32,1800,0.87,2302.04388,tab:data:lt,"Not corrected for Milky Way extinction, host extinction, or host-galaxy light."
