time_start_s_since_swift_bat,time_stop_s_since_swift_bat,time_start_s_since_fermi_gbm,time_stop_s_since_fermi_gbm,time_mid_s_since_fermi_gbm,time_days_since_fermi_gbm,swift_uvot_filter,native_uvot_mag,native_uvot_mag_err,mag_system,source_arxiv,source_tex_path,source_table,notes
593.2,612.9,3792.2,3811.9,3802.1,0.044005208,UVB,17.09,0.13,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
767.0,786.7,3966.0,3985.7,3975.8,0.046016782,UVB,17.21,0.14,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
1147.9,1332.8,4346.9,4531.8,4439.4,0.051381366,UVB,17.50,0.13,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
40736.7,41644.4,43935.7,44843.4,44389.6,0.51376794,UVB,20.21,0.14,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
56651.5,57558.5,59850.5,60757.5,60304.0,0.69796296,UVB,20.72,0.26,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
337.2,586.9,3536.2,3785.9,3661.1,0.042373264,UVU,17.67,0.08,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
742.1,761.9,3941.1,3960.9,3951.0,0.045729167,UVU,17.78,0.25,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
1122.9,1317.9,4321.9,4516.9,4419.4,0.051150463,UVU,17.77,0.18,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
28831.1,29661.9,32030.1,32860.9,32445.5,0.37552662,UVU,20.3,0.21,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
46079.7,46907.8,49278.7,50106.8,49692.8,0.57514757,UVU,20.61,0.27,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
92151.0,92979.8,95350.0,96178.8,95764.4,1.1083843,UVU,20.83,0.31,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
668.4,688.3,3867.4,3887.3,3877.4,0.044876736,UVV,15.56,0.11,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
841.2,861.0,4040.2,4060.0,4050.1,0.046876157,UVV,15.55,0.11,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
1049.4,1243.1,4248.4,4442.1,4345.2,0.050292245,UVV,15.80,0.09,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
34595.2,35419.7,37794.2,38618.7,38206.4,0.44220428,UVV,18.07,0.07,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
51699.8,52523.8,54898.8,55722.8,55310.8,0.6401713,UVV,18.64,0.10,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
80607.5,81514.3,83806.5,84713.3,84259.9,0.97523032,UVV,19.10,0.13,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
97761.4,98526.1,100960.4,101725.1,101342.8,1.1729485,UVV,19.54,0.20,native Swift/UVOT system,2302.04388,GRB221009A_astroph_v2.tex,tab:data:uvot,Times in source table are since Swift/BAT trigger; add 3199 s for Fermi/GBM. Not corrected for Milky Way or host extinction.
