dataset_id,instrument,panel,series_label,time_days_since_fermi_gbm,time_s_since_trigger,value,value_err,value_unit,is_upper_limit,source_arxiv,source_table,source_file,notes
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,0.33486,28931.904,18.57,0.04,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,0.33749,29159.136,15.29,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,0.33662,29083.968,15.96,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,0.33576,29009.664,16.99,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,0.34899,30152.736,18.53,0.04,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,0.34987,30228.768,17.05,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,0.35061,30292.704,16.00,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,0.35132,30354.048,15.33,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,0.39745,34339.68,18.55,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,0.39978,34540.992,15.48,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
